Feature,Feature_Category
V_eqFeret_norm,Shape
V_Poros_eqFeret_norm,Poros
V_ROI_eqFeret_norm,Shape
V_ROI_CH_eqFeret_norm,Shape
V_ImageBox,Size
size_ImageBox_X,Size
size_ImageBox_Y,Size
size_ImageBox_Z,Size
V_BoundingBox_MaxLength,Size
V_BoundingBox_MinLength,Size
V_ROI_BoundingBox_MaxLength,Size
V_ROI_BoundingBox_MinLength,Size
V_Volume_um,Size
V_ROI_Volume_um,Size
V_ROI_CH_Volume_um,Size
V_Surface_um,Surface
V_ROI_Surface_um,Surface
V_max_FeretDiameter,Size
V_imMinkowski_breadth,Size
V_ROI_imMinkowski_breadth,Size
V_radius_spherefit_um,Size
V_ROI_radius_spherefit_um,Size
V_radii_elpsfit_1_um,Size
V_radii_elpsfit_2_um,Size
V_radii_elpsfit_3_um,Size
V_chi2_elpsfit_um,Shape
V_ROI_radii_elpsfit_1_um,Size
V_ROI_radii_elpsfit_2_um,Size
V_ROI_radii_elpsfit_3_um,Size
V_ROI_chi2_elpsfit_um,Shape
V_AspectRatio,Shape
V_ROI_AspectRatio,Shape
V_ROI_Sphericity,Shape
V_Poros_Volume_um,Poros
V_Poros_closed_Volume_um,Poros
V_Poros_open_Volume_um,Poros
V_Solidity,Poros
V_ROI_Solidity,Surface
V_Extent,Shape
V_ROI_Extent,Shape
V_EquivDiameter,Size
V_ROI_EquivDiameter,Size
V_Orientation_Phi,Orientation
V_Orientation_Theta,Orientation
V_Orientation_Psi,Orientation
V_ROI_Orientation_Phi,Orientation
V_ROI_Orientation_Theta,Orientation
V_ROI_Orientation_Psi,Orientation
V_EV1_stats_area,Size
V_EV1_stats_Centroid_1,Shape
V_EV1_stats_Centroid_2,Shape
V_EV1_stats_MajorAxisLength,Size
V_EV1_stats_MinorAxisLength,Size
V_EV1_stats_Eccentricity,Shape
V_EV1_stats_Circularity,Shape
V_EV1_stats_Orientation,Orientation
V_EV1_stats_ConvexArea,Shape
V_EV1_stats_FilledArea,Poros
V_EV1_stats_EulerNumber,Poros
V_EV1_stats_EquivDiameter,Size
V_EV1_stats_Solidity,Poros
V_EV1_stats_Extent,Shape
V_EV1_stats_Perimeter,Surface
V_EV1_stats_BoundingBox_1,Size
V_EV1_stats_BoundingBox_2,Size
V_EV1_stats_MaxFeretDiameter,Size
V_EV1_stats_MaxFeretAngle,Orientation
V_EV1_stats_MinFeretDiameter,Size
V_EV1_stats_MinFeretAngle,Orientation
V_EV1_ShapeFit_area_polyarea,Shape
V_EV1_ShapeFit_area_SphereFit,Shape
V_EV1_ShapeFit_area_RectFit,Shape
V_EV1_ShapeFit_area_TriFit,Shape
V_EV1_ShapeFit_area_SemiSphereFit,Shape
V_EV1_ShapeFit_area_SphereFit_Frac,Shape
V_EV1_ShapeFit_area_RectFit_Frac,Shape
V_EV1_ShapeFit_area_TriFit_Frac,Shape
V_EV1_ShapeFit_area_SemiSphereFit_Frac,Shape
V_ROI_EV1_Zernike_Z,Shape
V_ROI_EV1_Zernike_A,Shape
V_ROI_EV1_Zernike_Phi,Orientation
V_ROI_EV1_localroundness_Roundness,Shape
V_ROI_EV1_localroundness_min20,Shape
V_ROI_EV1_localroundness_max20,Shape
V_ROI_EV1_stats_area,Size
V_ROI_EV1_stats_Centroid_1,Shape
V_ROI_EV1_stats_Centroid_2,Shape
V_ROI_EV1_stats_MajorAxisLength,Size
V_ROI_EV1_stats_MinorAxisLength,Size
V_ROI_EV1_stats_Eccentricity,Shape
V_ROI_EV1_stats_Circularity,Shape
V_ROI_EV1_stats_Orientation,Orientation
V_ROI_EV1_stats_ConvexArea,Shape
V_ROI_EV1_stats_EquivDiameter,Size
V_ROI_EV1_stats_Solidity,Surface
V_ROI_EV1_stats_Extent,Shape
V_ROI_EV1_stats_Perimeter,Surface
V_ROI_EV1_stats_BoundingBox_1,Size
V_ROI_EV1_stats_BoundingBox_2,Size
V_ROI_EV1_stats_MaxFeretDiameter,Size
V_ROI_EV1_stats_MaxFeretAngle,Orientation
V_ROI_EV1_stats_MinFeretDiameter,Size
V_ROI_EV1_stats_MinFeretAngle,Orientation
V_ROI_EV1_ShapeFit_area_polyarea,Shape
V_ROI_EV1_ShapeFit_area_SphereFit,Shape
V_ROI_EV1_ShapeFit_area_RectFit,Shape
V_ROI_EV1_ShapeFit_area_TriFit,Shape
V_ROI_EV1_ShapeFit_area_SemiSphereFit,Shape
V_ROI_EV1_ShapeFit_area_SphereFit_Frac,Shape
V_ROI_EV1_ShapeFit_area_RectFit_Frac,Shape
V_ROI_EV1_ShapeFit_area_TriFit_Frac,Shape
V_ROI_EV1_ShapeFit_area_SemiSphereFit_Frac,Shape
V_EV2_stats_area,Size
V_EV2_stats_Centroid_1,Shape
V_EV2_stats_Centroid_2,Shape
V_EV2_stats_MajorAxisLength,Size
V_EV2_stats_MinorAxisLength,Size
V_EV2_stats_Eccentricity,Shape
V_EV2_stats_Circularity,Shape
V_EV2_stats_Orientation,Orientation
V_EV2_stats_ConvexArea,Shape
V_EV2_stats_FilledArea,Poros
V_EV2_stats_EulerNumber,Poros
V_EV2_stats_EquivDiameter,Size
V_EV2_stats_Solidity,Poros
V_EV2_stats_Extent,Shape
V_EV2_stats_Perimeter,Surface
V_EV2_stats_BoundingBox_1,Size
V_EV2_stats_BoundingBox_2,Size
V_EV2_stats_MaxFeretDiameter,Size
V_EV2_stats_MaxFeretAngle,Orientation
V_EV2_stats_MinFeretDiameter,Size
V_EV2_stats_MinFeretAngle,Orientation
V_EV2_ShapeFit_area_polyarea,Shape
V_EV2_ShapeFit_area_SphereFit,Shape
V_EV2_ShapeFit_area_RectFit,Shape
V_EV2_ShapeFit_area_TriFit,Shape
V_EV2_ShapeFit_area_SemiSphereFit,Shape
V_EV2_ShapeFit_area_SphereFit_Frac,Shape
V_EV2_ShapeFit_area_RectFit_Frac,Shape
V_EV2_ShapeFit_area_TriFit_Frac,Shape
V_EV2_ShapeFit_area_SemiSphereFit_Frac,Shape
V_ROI_EV2_Zernike_Z,Shape
V_ROI_EV2_Zernike_A,Size
V_ROI_EV2_Zernike_Phi,Orientation
V_ROI_EV2_localroundness_Roundness,Shape
V_ROI_EV2_localroundness_min20,Shape
V_ROI_EV2_localroundness_max20,Shape
V_ROI_EV2_stats_area,Size
V_ROI_EV2_stats_Centroid_1,Shape
V_ROI_EV2_stats_Centroid_2,Shape
V_ROI_EV2_stats_MajorAxisLength,Size
V_ROI_EV2_stats_MinorAxisLength,Size
V_ROI_EV2_stats_Eccentricity,Shape
V_ROI_EV2_stats_Circularity,Shape
V_ROI_EV2_stats_Orientation,Orientation
V_ROI_EV2_stats_ConvexArea,Shape
V_ROI_EV2_stats_EquivDiameter,Size
V_ROI_EV2_stats_Solidity,Surface
V_ROI_EV2_stats_Extent,Shape
V_ROI_EV2_stats_Perimeter,Surface
V_ROI_EV2_stats_BoundingBox_1,Size
