Feature, Rank, Median, Max, Min, Category
V_ROI_EV2_stats_Orientation,1,0,9.309,-2.7, Orientation
V_EV1_stats_Orientation,2,0.006,3.895,-7.761, Orientation
V_ROI_EV1_stats_Orientation,3,0,0.556,-4.827, Orientation
V_EV2_stats_Orientation,4,0.004,4.442,-2.912, Orientation
V_Orientation_Psi,5,0.001,0.426,-3.76, Orientation
V_chi2_elpsfit_um,6,-0.018,3.665,-0.59, Shape
V_ROI_EV3_Zernike_Phi,7,0,3.648,-1.625, Orientation
V_ROI_EV2_Zernike_A,8,0,3.482,-0.449, Size
V_Poros_closed_Volume_um,9,-0.443,3.46,-1, Poros
V_ROI_EV3_stats_Orientation,10,0.001,0.714,-3.373, Orientation
V_EV2_stats_Perimeter,11,-0.001,2.954,-0.508, Surface
V_EV3_stats_Perimeter,12,-0.005,2.85,-0.375, Surface
V_EV3_stats_Orientation,13,0.002,2.72,-1.125, Orientation
V_ROI_EV1_localroundness_min20,14,0.002,2.673,-0.678, Shape
V_ROI_EV1_Zernike_Phi,15,0.007,0.248,-2.196, Orientation
V_Poros_open_Volume_um,16,0.013,2.01,-1, Poros
V_ROI_EV2_stats_Eccentricity,17,0.001,1.441,-0.166, Shape
V_ROI_EV2_localroundness_min20,18,-0.003,1.332,-0.911, Shape
V_Surface_um,19,-0.001,1.276,-0.278, Surface
V_ROI_EV2_Zernike_Phi,20,0.001,0.148,-1.263, Orientation
V_Poros_eqFeret_norm,21,0.107,1.131,-0.996, Poros
V_Poros_Volume_um,22,0.107,1.128,-0.996, Poros
V_EV3_stats_EulerNumber,23,0.144,0.503,-1, Poros
V_EV1_stats_ConvexArea,24,-0.001,0.299,-1, Shape
V_EV1_stats_FilledArea,25,-0.001,0.334,-1, Poros
V_EV2_stats_EulerNumber,26,0.159,0.481,-0.99, Poros
V_EV1_stats_EulerNumber,27,0.147,0.523,-0.989, Poros
V_EV1_stats_Perimeter,28,-0.005,0.906,-0.344, Surface
V_EV2_ShapeFit_area_SemiSphereFit,29,-0.003,0.829,-0.108, Shape
V_ROI_EV2_localroundness_max20,30,-0.002,0.827,-0.545, Shape
V_ROI_EV1_localroundness_max20,31,0,0.813,-0.473, Shape
V_EV2_stats_area,32,-0.052,0.774,-0.271, Size
V_Orientation_Phi,33,0.001,0.497,-0.744, Orientation
V_ROI_EV2_localroundness_Roundness,34,0.001,0.092,-0.654, Shape
V_EV2_stats_Eccentricity,35,0.003,0.118,-0.63, Shape
V_ROI_EV3_localroundness_min20,36,0,0.626,-0.367, Shape
